survey_year,academic_year_start_for_merge,admin_region,person_n,matched_current_n,current_merge_coverage,mean_exposure_overlap_years
2021,2020,Andijan region,4146,4146,1,0.3314037626628075
2021,2020,Bukhara region,3393,3393,1,0.3887415266725612
2021,2020,Fergana region,5053,5053,1,0.3500890560063329
2021,2020,Jizzakh region,2930,2930,1,0.3901023890784983
2021,2020,Kashkadarya region,4625,4625,1,0.3956756756756757
2021,2020,Khorezm region,3497,3497,1,0.3903345724907063
2021,2020,Namangan region,4332,4332,1,0.37465373961218834
2021,2020,Navoi region,2424,2424,1,0.360973597359736
2021,2020,Republic of Karakalpakstan,3307,3307,1,0.42334442092530994
2021,2020,Samarkand region,5462,5462,1,0.3473086781398755
2021,2020,Surkhandarya region,4261,4261,1,0.3766721426895095
2021,2020,Syrdarya region,2400,2400,1,0.34958333333333336
2021,2020,Tashkent city,4047,4047,1,0.3644675067951569
2021,2020,Tashkent region,4446,4446,1,0.33423301844354475
2022,2021,Andijan region,6038,6038,1,0.31632991056641274
2022,2021,Bukhara region,4390,4390,1,0.32801822323462415
2022,2021,Fergana region,6068,6068,1,0.34278180619644033
2022,2021,Jizzakh region,4022,4022,1,0.4065141720537046
2022,2021,Kashkadarya region,6249,6249,1,0.3662986077772444
2022,2021,Khorezm region,4911,4911,1,0.3506414172266341
2022,2021,Namangan region,5810,5810,1,0.35611015490533565
2022,2021,Navoi region,3022,3022,1,0.32958305757776307
2022,2021,Republic of Karakalpakstan,4900,4900,1,0.3769387755102041
2022,2021,Samarkand region,6708,6708,1,0.3372093023255814
2022,2021,Surkhandarya region,5549,5549,1,0.36529104343124885
2022,2021,Syrdarya region,3177,3177,1,0.33899905571293676
2022,2021,Tashkent city,5782,5782,1,0.33586994119681773
2022,2021,Tashkent region,5622,5622,1,0.33315546069014584
2023,2022,Andijan region,6709,6709,1,0.3209122074824862
2023,2022,Bukhara region,4680,4680,1,0.3487179487179487
2023,2022,Fergana region,6528,6528,1,0.31525735294117646
2023,2022,Jizzakh region,5322,5322,1,0.3765501691093574
2023,2022,Kashkadarya region,6492,6492,1,0.3234750462107209
2023,2022,Khorezm region,5984,5984,1,0.3412433155080214
2023,2022,Namangan region,5447,5447,1,0.34973379842114927
2023,2022,Navoi region,3906,3906,1,0.30568356374807987
2023,2022,Republic of Karakalpakstan,5528,5528,1,0.3552821997105644
2023,2022,Samarkand region,7171,7171,1,0.345558499511923
2023,2022,Surkhandarya region,6033,6033,1,0.34145532902370296
2023,2022,Syrdarya region,4984,4984,1,0.35453451043338685
2023,2022,Tashkent city,4580,4580,1,0.32074235807860263
2023,2022,Tashkent region,7453,7453,1,0.3174560579632363
2024,2023,Andijan region,6694,6694,1,0.2983268598745145
2024,2023,Bukhara region,5099,5099,1,0.34163561482643656
2024,2023,Fergana region,6052,6052,1,0.3086582947785856
2024,2023,Jizzakh region,4943,4943,1,0.35039449726886507
2024,2023,Kashkadarya region,6015,6015,1,0.3519534497090607
2024,2023,Khorezm region,5782,5782,1,0.3427879626426842
2024,2023,Namangan region,5668,5668,1,0.3311573747353564
2024,2023,Navoi region,4141,4141,1,0.28157449891330594
2024,2023,Republic of Karakalpakstan,5267,5267,1,0.3880767040060756
2024,2023,Samarkand region,7071,7071,1,0.3498797906943855
2024,2023,Surkhandarya region,5534,5534,1,0.3740513191181785
2024,2023,Syrdarya region,5078,5078,1,0.36234738085860574
2024,2023,Tashkent city,4722,4722,1,0.33312155866158405
2024,2023,Tashkent region,7354,7354,1,0.31343486537938536
2025,2024,Andijan region,6902,6902,1,0.29107505070993916
2025,2024,Bukhara region,5045,5045,1,0.33914767096134785
2025,2024,Fergana region,5545,5545,1,0.3146979260595131
2025,2024,Jizzakh region,5402,5402,1,0.3596815994076268
2025,2024,Kashkadarya region,5992,5992,1,0.313584779706275
2025,2024,Khorezm region,6159,6159,1,0.3508686475077123
2025,2024,Namangan region,5707,5707,1,0.30296127562642367
2025,2024,Navoi region,3687,3687,1,0.2915649579604014
2025,2024,Republic of Karakalpakstan,5486,5486,1,0.33795114837768864
2025,2024,Samarkand region,7178,7178,1,0.3340763443856227
2025,2024,Surkhandarya region,5606,5606,1,0.33749554049232966
2025,2024,Syrdarya region,5350,5350,1,0.30822429906542054
2025,2024,Tashkent city,4940,4940,1,0.3188259109311741
2025,2024,Tashkent region,7320,7320,1,0.3188524590163934
