sample_label,outcome_name,variable_name,metric_type,source_fields,source_fields_all_5y,years_in_sample,years_with_non_missing_outcome,years_with_non_missing_n,coding_concept_stable,interpretability_rating,interpretable_for_exposed_cohorts,working_sample_rescue_pass,interpretability_note
full_linked,current enrollment in any education,current_enrollment_any,binary,edu_enrolled,True,"2021, 2025","2021, 2025",2,True,moderate,True,False,Broad participation measure; includes non-tertiary schooling at the lower end of ages 18-24.
full_linked,current enrollment in tertiary education,tertiary_enrolled_proxy,binary,"edu_enrolled, edu_highest",True,"2021, 2025","2021, 2025",2,True,strong,True,False,"Closest match to university access, but still a proxy built from enrollment plus current education track."
full_linked,tertiary completion,tertiary_completed_proxy,binary,"edu_enrolled, edu_highest, edu_complete",False,"2021, 2025","2021, 2025",2,False,weak,False,False,Poor fit for ages 18-24 and `edu_complete` only appears in 2024-2025.
full_linked,years of schooling,education_years,continuous,edu_years,True,"2021, 2025","2021, 2025",2,True,weak,False,False,"Observed consistently, but many ages 18-24 are still accumulating schooling so it is a noisy access outcome."
full_linked,completed upper secondary or more,completed_upper_secondary_or_more,binary,edu_years,True,"2021, 2025","2021, 2025",2,True,moderate,True,False,"Stable broad attainment threshold, but wider than university expansion."
full_linked,post-secondary / tertiary entry proxy,post_secondary_entry_proxy,binary,"edu_enrolled, edu_years",True,"2021, 2025","2021, 2025",2,True,strong,True,False,Broad proxy for post-secondary participation after upper secondary completion.
full_linked,upward mobility proxy,upward_mobility_proxy,binary,"edu_years, relationship",True,"2021, 2025","2021, 2025",2,False,weak,False,False,Requires co-resident parent linkage and is not mature for ages 18-24.
no_migration_signal,current enrollment in any education,current_enrollment_any,binary,edu_enrolled,True,2025,2025,1,True,moderate,True,False,Broad participation measure; includes non-tertiary schooling at the lower end of ages 18-24.
no_migration_signal,current enrollment in tertiary education,tertiary_enrolled_proxy,binary,"edu_enrolled, edu_highest",True,2025,2025,1,True,strong,True,False,"Closest match to university access, but still a proxy built from enrollment plus current education track."
no_migration_signal,tertiary completion,tertiary_completed_proxy,binary,"edu_enrolled, edu_highest, edu_complete",False,2025,2025,1,False,weak,False,False,Poor fit for ages 18-24 and `edu_complete` only appears in 2024-2025.
no_migration_signal,years of schooling,education_years,continuous,edu_years,True,2025,2025,1,True,weak,False,False,"Observed consistently, but many ages 18-24 are still accumulating schooling so it is a noisy access outcome."
no_migration_signal,completed upper secondary or more,completed_upper_secondary_or_more,binary,edu_years,True,2025,2025,1,True,moderate,True,False,"Stable broad attainment threshold, but wider than university expansion."
no_migration_signal,post-secondary / tertiary entry proxy,post_secondary_entry_proxy,binary,"edu_enrolled, edu_years",True,2025,2025,1,True,strong,True,False,Broad proxy for post-secondary participation after upper secondary completion.
no_migration_signal,upward mobility proxy,upward_mobility_proxy,binary,"edu_years, relationship",True,2025,2025,1,False,weak,False,False,Requires co-resident parent linkage and is not mature for ages 18-24.
