module,year_from,year_to,n_vars_from,n_vars_to,intersection,union,jaccard
m00_passport,2021,2022,28,28,25,31,0.8064516129032258
m00_passport,2022,2023,28,27,27,28,0.9642857142857143
m00_passport,2023,2024,27,33,27,33,0.8181818181818182
m00_passport,2024,2025,33,43,27,49,0.5510204081632653
m00_weight,2021,2022,9,11,8,12,0.6666666666666666
m00_weight,2022,2023,11,12,8,15,0.5333333333333333
m00_weight,2023,2024,12,14,12,14,0.8571428571428571
m00_weight,2024,2025,14,13,13,14,0.9285714285714286
m01_roster,2021,2022,20,23,18,25,0.72
m01_roster,2022,2023,23,22,22,23,0.9565217391304348
m01_roster,2023,2024,22,24,22,24,0.9166666666666666
m01_roster,2024,2025,24,24,20,28,0.7142857142857143
m02_migration,2021,2022,51,56,48,59,0.8135593220338984
m02_migration,2022,2023,56,52,52,56,0.9285714285714286
m02_migration,2023,2024,52,54,52,54,0.9629629629629629
m02_migration,2024,2025,54,54,50,58,0.8620689655172413
m03_education,2021,2022,38,41,36,43,0.8372093023255814
m03_education,2022,2023,41,40,40,41,0.975609756097561
m03_education,2023,2024,40,44,40,44,0.9090909090909091
m03_education,2024,2025,44,45,37,52,0.7115384615384616
