year,module,module_file
2021,m00_passport,uzb_hbs_2021_20220105_m00_passport.dta
2021,m00_weight,uzb_hbs_2021_20220105_m00_weight.dta
2021,m00_weight1,uzb_hbs_2021_20220105_m00_weight1.dta
2021,m00_weight2,uzb_hbs_2021_20220105_m00_weight2.dta
2021,m01_roster,uzb_hbs_2021_20220105_m01_roster.dta
2021,m02_migration,uzb_hbs_2021_20220105_m02_migration.dta
2021,m03_education,uzb_hbs_2021_20220105_m03_education.dta
2021,m04_health,uzb_hbs_2021_20220105_m04_health.dta
2021,m05_employment,uzb_hbs_2021_20220105_m05_employment.dta
2021,m06_banking,uzb_hbs_2021_20220105_m06_banking.dta
2021,m07_socben,uzb_hbs_2021_20220105_m07_socben.dta
2021,m08_nonwage,uzb_hbs_2021_20220105_m08_nonwage.dta
2021,m09_food,uzb_hbs_2021_20220105_m09_food.dta
2021,m10_nfa,uzb_hbs_2021_20220105_m10_nfa.dta
2021,m10_nfb,uzb_hbs_2021_20220105_m10_nfb.dta
2021,m10_nfc1,uzb_hbs_2021_20220105_m10_nfc1.dta
2021,m10_nfc2,uzb_hbs_2021_20220105_m10_nfc2.dta
2021,m10_nfd,uzb_hbs_2021_20220105_m10_nfd.dta
2021,m11_dwelling,uzb_hbs_2021_20220105_m11_dwelling.dta
2021,m12_tourism,uzb_hbs_2021_20220105_m12_tourism.dta
2021,m13_internet,uzb_hbs_2021_20220105_m13_internet.dta
2022,m00_passport,uzb_hbs_2022_20221231_m00_passport.dta
2022,m00_weight,uzb_hbs_2022_20221231_M00_weight.dta
2022,m01_roster,uzb_hbs_2022_20221231_m01_roster.dta
2022,m02_migration,uzb_hbs_2022_20221231_m02_migration.dta
2022,m03_education,uzb_hbs_2022_20221231_m03_education.dta
2022,m04_health,uzb_hbs_2022_20221231_m04_health.dta
2022,m05_employment,uzb_hbs_2022_20221231_m05_employment.dta
2022,m06_banking,uzb_hbs_2022_20221231_m06_banking.dta
2022,m07_socben,uzb_hbs_2022_20221231_m07_socben.dta
2022,m08_nonwage,uzb_hbs_2022_20221231_m08_nonwage.dta
2022,m09_food,uzb_hbs_2022_20221231_m09_food.dta
2022,m10_nfa,uzb_hbs_2022_20221231_m10_nfa.dta
2022,m10_nfb,uzb_hbs_2022_20221231_m10_nfb.dta
2022,m10_nfc1,uzb_hbs_2022_20221231_m10_nfc1.dta
2022,m10_nfc2,uzb_hbs_2022_20221231_m10_nfc2.dta
2022,m10_nfd,uzb_hbs_2022_20221231_m10_nfd.dta
2022,m11_dwelling,uzb_hbs_2022_20221231_m11_dwelling.dta
2022,m12_tourism_a,uzb_hbs_2022_20221231_m12_tourism_a.dta
2022,m12_tourism_b,uzb_hbs_2022_20221231_m12_tourism_b.dta
2022,m13_internet,uzb_hbs_2022_20221231_m13_internet.dta
2022,m14_fao,uzb_hbs_2022_20221231_m14_fao.dta
2023,m00_passport,uzb_hbs_2023_20231230_m00_passport.dta
2023,m00_weight,uzb_hbs_2023_20231230_m00_weight.dta
2023,m01_roster,uzb_hbs_2023_20231230_m01_roster.dta
2023,m02_migration,uzb_hbs_2023_20231230_m02_migration.dta
2023,m03_education,uzb_hbs_2023_20231230_m03_education.dta
2023,m04_health,uzb_hbs_2023_20231230_m04_health.dta
2023,m05_employment,uzb_hbs_2023_20231230_m05_employment.dta
2023,m06_banking,uzb_hbs_2023_20231230_m06_banking.dta
2023,m07_socben,uzb_hbs_2023_20231230_m07_socben.dta
2023,m08_nonwage,uzb_hbs_2023_20231230_m08_nonwage.dta
2023,m09_food,uzb_hbs_2023_20231230_m09_food.dta
2023,m10_nfa,uzb_hbs_2023_20231230_m10_nfa.dta
2023,m10_nfb,uzb_hbs_2023_20231230_m10_nfb.dta
2023,m10_nfc1,uzb_hbs_2023_20231230_m10_nfc1.dta
2023,m10_nfc2,uzb_hbs_2023_20231230_m10_nfc2.dta
2023,m10_nfd,uzb_hbs_2023_20231230_m10_nfd.dta
2023,m11_dwelling,uzb_hbs_2023_20231230_m11_dwelling.dta
2023,m12_tourism_a,uzb_hbs_2023_20231230_m12_tourism_a.dta
2023,m12_tourism_b,uzb_hbs_2023_20231230_m12_tourism_b.dta
2023,m13_internet,uzb_hbs_2023_20231230_m13_internet.dta
2024,m00_passport,uzb_hbs_2024_20241231_m00_passport.dta
2024,m00_weight,uzb_hbs_2024_20241231_m00_weight.dta
2024,m01_roster,uzb_hbs_2024_20241231_m01_roster.dta
2024,m02_migration,uzb_hbs_2024_20241231_m02_migration.dta
2024,m03_education,uzb_hbs_2024_20241231_m03_education.dta
2024,m04_health,uzb_hbs_2024_20241231_m04_health.dta
2024,m05_employment,uzb_hbs_2024_20241231_m05_employment.dta
2024,m06_banking,uzb_hbs_2024_20241231_m06_banking.dta
2024,m07_socben,uzb_hbs_2024_20241231_m07_socben.dta
2024,m08_nonwage,uzb_hbs_2024_20241231_m08_nonwage.dta
2024,m09_food,uzb_hbs_2024_20241231_m09_food.dta
2024,m10_nfa,uzb_hbs_2024_20241231_m10_nfa.dta
2024,m10_nfb,uzb_hbs_2024_20241231_m10_nfb.dta
2024,m10_nfc1,uzb_hbs_2024_20241231_m10_nfc1.dta
2024,m10_nfc2,uzb_hbs_2024_20241231_m10_nfc2.dta
2024,m10_nfd,uzb_hbs_2024_20241231_m10_nfd.dta
2024,m11_dwelling,uzb_hbs_2024_20241231_m11_dwelling.dta
2024,m12_tourism_a,uzb_hbs_2024_20241231_m12_tourism_a.dta
2024,m12_tourism_b,uzb_hbs_2024_20241231_m12_tourism_b.dta
2024,m13_internet,uzb_hbs_2024_20241231_m13_internet.dta
2024,m14_production,uzb_hbs_2024_20241231_m14_production.dta
2025,m00_passport,uzb_hbs_2025_20251221_m00_passport.dta
2025,m00_weight,uzb_hbs_2025_20251221_m00_weight.dta
2025,m01_roster,uzb_hbs_2025_20251221_m01_roster.dta
2025,m02_migration,uzb_hbs_2025_20251221_m02_migration.dta
2025,m03_education,uzb_hbs_2025_20251221_m03_education.dta
2025,m04_health,uzb_hbs_2025_20251221_m04_health.dta
2025,m05_employment,uzb_hbs_2025_20251221_m05_employment.dta
2025,m06_banking,uzb_hbs_2025_20251221_m06_banking.dta
2025,m07_socben,uzb_hbs_2025_20251221_m07_socben.dta
2025,m08_nonwage,uzb_hbs_2025_20251221_m08_nonwage.dta
2025,m09_food_cons,uzb_hbs_2025_20251221_m09_food_cons.dta
2025,m09_food_fafh,uzb_hbs_2025_20251221_m09_food_fafh.dta
2025,m09_food_purch,uzb_hbs_2025_20251221_m09_food_purch.dta
2025,m10_food_safety,uzb_hbs_2025_20251221_m10_food_safety.dta
2025,m11_fuel_cooking,uzb_hbs_2025_20251221_m11_fuel_cooking.dta
2025,m11_fuel_heating,uzb_hbs_2025_20251221_m11_fuel_heating.dta
2025,m11_nonfood_12months,uzb_hbs_2025_20251221_m11_nonfood_12months.dta
2025,m11_nonfood_30day,uzb_hbs_2025_20251221_m11_nonfood_30day.dta
2025,m11_nonfood_6months,uzb_hbs_2025_20251221_m11_nonfood_6months.dta
2025,m11_nonfood_d,uzb_hbs_2025_20251221_m11_nonfood_d.dta
2025,m12_assets,uzb_hbs_2025_20251221_m12_assets.dta
2025,m12a_dwelling,uzb_hbs_2025_20251221_m12a_dwelling.dta
2025,m12b_dwelling,uzb_hbs_2025_20251221_m12b_dwelling.dta
2025,m12c_dwelling,uzb_hbs_2025_20251221_m12c_dwelling.dta
2025,m12d_dwelling,uzb_hbs_2025_20251221_m12d_dwelling.dta
2025,m12e_dwelling,uzb_hbs_2025_20251221_m12e_dwelling.dta
2025,m13_cost12m,uzb_hbs_2025_20251221_m13_cost12m.dta
2025,m13_cost1m,uzb_hbs_2025_20251221_m13_cost1m.dta
2025,m15_parcel_roster,uzb_hbs_2025_20251221_m15_parcel_roster.dta
2025,m15a_livestock_agri,uzb_hbs_2025_20251221_m15a_livestock_agri.dta
2025,m15a_prod_agri,uzb_hbs_2025_20251221_m15a_prod_agri.dta
2025,m15b_agri,uzb_hbs_2025_20251221_m15b_agri.dta
2025,m16_self_employment,uzb_hbs_2025_20251221_m16_self_employment.dta
