field,2010,2016,2022-23,2010_present,2016_present,2022-23_present,status,notes
child education/investment variables,NA,NA,q436 [Usage of child care facilities]; q437 [Reason for not using child care facilities]; q5135 [To provide a better education to their children abroad - decided to leave]; q604e [Doing online courses or using online learning materials]; q608c [Install new software or devices - able to]; q710b [Having a reliable and functional device - challenging when working from home],FALSE,FALSE,TRUE,partially supported,Variable examples -> 2010: [none] | 2016: [none] | 2022-23: q436 [Usage of child care facilities]; q437 [Reason for not using child care facilities]; q5135 [To provide a better education to their children abroad - decided to leave]; q604e [Doing online courses or using online learning materials]; q608c [Install new software or devices - able to]; q710b [Having a reliable and functional device - challenging when working from home] Note: construct mapping should still be validated against official LiTS questionnaires/codebooks.
household composition,Adults_i [Number of adults in household]; Children [Number of children in household]; Females_ [Number of female members in household]; Head_Of0 [Q.104 Age of head of household]; Head_Of_ [Q.102 Gender of head of household]; Males_in [Number of male members in household],C1 [C. Final H/h member interview OUTCOME First selected person]; C2 [C. Final H/h member interview OUTCOME Second selected person]; C3 [C. Final H/h member interview OUTCOME Head of household]; C3_notes [Other unproductive (please specify in Notes): Head of household]; PRq520 [Primary respondent - (5.20) Number of employees excluding household members]; SRq520 [Secondary respondent - (5.20) Number of employees excluding household members],hhaddress [Household address]; hhid [Household identification number]; q1 [Number of HH members]; q101* [Names/Initials of HH member *]; q1011 [Names/Initials of HH member 1]; q10110 [Names/Initials of HH member 10],TRUE,TRUE,TRUE,supported,Variable examples -> 2010: Adults_i [Number of adults in household]; Children [Number of children in household]; Females_ [Number of female members in household]; Head_Of0 [Q.104 Age of head of household]; Head_Of_ [Q.102 Gender of head of household]; Males_in [Number of male members in household] | 2016: C1 [C. Final H/h member interview OUTCOME First selected person]; C2 [C. Final H/h member interview OUTCOME Second selected person]; C3 [C. Final H/h member interview OUTCOME Head of household]; C3_notes [Other unproductive (please specify in Notes): Head of household]; PRq520 [Primary respondent - (5.20) Number of employees excluding household members]; SRq520 [Secondary respondent - (5.20) Number of employees excluding household members] | 2022-23: hhaddress [Household address]; hhid [Household identification number]; q1 [Number of HH members]; q101* [Names/Initials of HH member *]; q1011 [Names/Initials of HH member 1]; q10110 [Names/Initials of HH member 10] Note: construct mapping should still be validated against official LiTS questionnaires/codebooks.
migration variables,q303k [Q.3.03 To what extent do you trust the following institutions ....?: k) Foreign]; q529 [q529 - Would you be willing to move abroad for employment reasons?]; q708 [q708 - Do you intend to move abroad in the next 12 months?],q1005g [Which of these are responsible for the economic crisis - foreign banks]; q404k [Trust - foreign investors]; q405d [Trust - foreigners]; q413h [Three most important problems - immigration]; q418 [Opinion on immigrants]; q429g [People you do not want to have as neighbours - immigrants / foreign workers],q333c [Foreign language skills - needed for job]; q334c [Foreign language skills -  level of skills]; q403k [Foreign investors]; q505 [Plans for moving abroad]; q509 [HH members who left to live abroad]; q5134 [To study abroad - decided to leave],TRUE,TRUE,TRUE,supported,Variable examples -> 2010: q303k [Q.3.03 To what extent do you trust the following institutions ....?: k) Foreign]; q529 [q529 - Would you be willing to move abroad for employment reasons?]; q708 [q708 - Do you intend to move abroad in the next 12 months?] | 2016: q1005g [Which of these are responsible for the economic crisis - foreign banks]; q404k [Trust - foreign investors]; q405d [Trust - foreigners]; q413h [Three most important problems - immigration]; q418 [Opinion on immigrants]; q429g [People you do not want to have as neighbours - immigrants / foreign workers] | 2022-23: q333c [Foreign language skills - needed for job]; q334c [Foreign language skills -  level of skills]; q403k [Foreign investors]; q505 [Plans for moving abroad]; q509 [HH members who left to live abroad]; q5134 [To study abroad - decided to leave] Note: construct mapping should still be validated against official LiTS questionnaires/codebooks.
parental education variable,q718 [q718 - How many years of full-time education did your father have? YEARS]; q719 [q719 - How many years of full-time education did your mother have? YEARS],q110_1 [Father's highest education completed - primary respondent]; q110_2 [Father's highest education completed - secondary respondent]; q110_3 [Father's highest education completed - sections 1 and 2 respondent]; q111_1 [Mother's highest education completed - primary respondent]; q111_2 [Mother's highest education completed - secondary respondent]; q111_3 [Mother's highest education completed - sections 1 and 2 respondent],q110a [Father - Highest level of education obtained - Head of Household]; q110b [Father - Highest level of education obtained - Primary respondent]; q111a [Mother - Highest level of education obtained - Head of Household]; q111b [Mother - Highest level of education obtained - Primary respondent],TRUE,TRUE,TRUE,supported,Variable examples -> 2010: q718 [q718 - How many years of full-time education did your father have? YEARS]; q719 [q719 - How many years of full-time education did your mother have? YEARS] | 2016: q110_1 [Father's highest education completed - primary respondent]; q110_2 [Father's highest education completed - secondary respondent]; q110_3 [Father's highest education completed - sections 1 and 2 respondent]; q111_1 [Mother's highest education completed - primary respondent]; q111_2 [Mother's highest education completed - secondary respondent]; q111_3 [Mother's highest education completed - sections 1 and 2 respondent] | 2022-23: q110a [Father - Highest level of education obtained - Head of Household]; q110b [Father - Highest level of education obtained - Primary respondent]; q111a [Mother - Highest level of education obtained - Head of Household]; q111b [Mother - Highest level of education obtained - Primary respondent] Note: construct mapping should still be validated against official LiTS questionnaires/codebooks.
region,Locality [Locality - name of settlement/locality/town district]; Region1 [Region (1) about location of PSU in the country]; Region2 [Region (2) about location of PSU in the country],district_l1 [District1 (if any)]; district_l2 [District2 (if any)]; q217d [Access in the dwelling to central heating or district heating]; q218d [Satisfaction with the quality of service of central heating or district heating]; region_name [Region name (same as in weighting book)],q811109 [Croatia - Other geographic identity]; q811122 [Czech Republic - Other geographic identity]; q811139 [Estonia - Other geographic identity]; q811148 [Georgia - Georgian]; q811149 [Georgia - Azerbaijani]; q81115 [Azerbaijan - Other geographic identity],TRUE,TRUE,TRUE,supported,Variable examples -> 2010: Locality [Locality - name of settlement/locality/town district]; Region1 [Region (1) about location of PSU in the country]; Region2 [Region (2) about location of PSU in the country] | 2016: district_l1 [District1 (if any)]; district_l2 [District2 (if any)]; q217d [Access in the dwelling to central heating or district heating]; q218d [Satisfaction with the quality of service of central heating or district heating]; region_name [Region name (same as in weighting book)] | 2022-23: q811109 [Croatia - Other geographic identity]; q811122 [Czech Republic - Other geographic identity]; q811139 [Estonia - Other geographic identity]; q811148 [Georgia - Georgian]; q811149 [Georgia - Azerbaijani]; q81115 [Azerbaijan - Other geographic identity]
respondent age / birth cohort,Head_Of0 [Q.104 Age of head of household]; Select_0 [Q.104 Age of selected respondent]; age1824; age2534; age3544; age4554,age_pr [Age of the primary respondent]; age_sr [Age of the secondary respondent]; q105_1 [Age - household member 1]; q105_10 [Age - household member 10]; q105_2 [Age - household member 2]; q105_3 [Age - household member 3],q105* [Age - HH member *]; q1051 [Age - HH member 1]; q10510 [Age - HH member 10]; q10511 [Age - HH member 11]; q10512 [Age - HH member 12]; q10513 [Age - HH member 13],TRUE,TRUE,TRUE,supported,Variable examples -> 2010: Head_Of0 [Q.104 Age of head of household]; Select_0 [Q.104 Age of selected respondent]; age1824; age2534; age3544; age4554 | 2016: age_pr [Age of the primary respondent]; age_sr [Age of the secondary respondent]; q105_1 [Age - household member 1]; q105_10 [Age - household member 10]; q105_2 [Age - household member 2]; q105_3 [Age - household member 3] | 2022-23: q105* [Age - HH member *]; q1051 [Age - HH member 1]; q10510 [Age - HH member 10]; q10511 [Age - HH member 11]; q10512 [Age - HH member 12]; q10513 [Age - HH member 13]
respondent education variable,q515 [q515 - What is the highest level of education you already completed?]; q718 [q718 - How many years of full-time education did your father have? YEARS]; q719 [q719 - How many years of full-time education did your mother have? YEARS],q109_1 [Highest education completed -  primary respondent]; q109_2 [Highest education completed - secondary respondent]; q109_3 [Highest education completed - sections 1 and 2 respondent]; q110_1 [Father's highest education completed - primary respondent]; q110_2 [Father's highest education completed - secondary respondent]; q110_3 [Father's highest education completed - sections 1 and 2 respondent],q109a [Highest level of education obtained - Knowledgeable respondent]; q109b [Highest level of education obtained - Primary respondent]; q110a [Father - Highest level of education obtained - Head of Household]; q110b [Father - Highest level of education obtained - Primary respondent]; q111a [Mother - Highest level of education obtained - Head of Household]; q111b [Mother - Highest level of education obtained - Primary respondent],TRUE,TRUE,TRUE,supported,Variable examples -> 2010: q515 [q515 - What is the highest level of education you already completed?]; q718 [q718 - How many years of full-time education did your father have? YEARS]; q719 [q719 - How many years of full-time education did your mother have? YEARS] | 2016: q109_1 [Highest education completed -  primary respondent]; q109_2 [Highest education completed - secondary respondent]; q109_3 [Highest education completed - sections 1 and 2 respondent]; q110_1 [Father's highest education completed - primary respondent]; q110_2 [Father's highest education completed - secondary respondent]; q110_3 [Father's highest education completed - sections 1 and 2 respondent] | 2022-23: q109a [Highest level of education obtained - Knowledgeable respondent]; q109b [Highest level of education obtained - Primary respondent]; q110a [Father - Highest level of education obtained - Head of Household]; q110b [Father - Highest level of education obtained - Primary respondent]; q111a [Mother - Highest level of education obtained - Head of Household]; q111b [Mother - Highest level of education obtained - Primary respondent] Note: construct mapping should still be validated against official LiTS questionnaires/codebooks.
sampling weights,Region1 [Region (1) about location of PSU in the country]; Region2 [Region (2) about location of PSU in the country]; XCweight [Federalist weight: Each country's weights add up to one]; psu [psu - PSU NUMBER]; weight [Democratic weight: Each country's weights add up to its population],PSU_name [PSU name]; PSU_number [PSU number]; q902 [Weight in kilograms]; region_name [Region name (same as in weighting book)]; weight_one [Survey weights that add up to one]; weight_population [Survey weights that add up to population totals],PSU [Sample point / PSU number]; psu [Sample point / PSU number]; q803 [Weight in KG]; weight [Final weight]; weight_TRt [Final weight - TR with top up sample]; weight_pop [Final weight - scaled to the 18+ population],TRUE,TRUE,TRUE,supported,Variable examples -> 2010: Region1 [Region (1) about location of PSU in the country]; Region2 [Region (2) about location of PSU in the country]; XCweight [Federalist weight: Each country's weights add up to one]; psu [psu - PSU NUMBER]; weight [Democratic weight: Each country's weights add up to its population] | 2016: PSU_name [PSU name]; PSU_number [PSU number]; q902 [Weight in kilograms]; region_name [Region name (same as in weighting book)]; weight_one [Survey weights that add up to one]; weight_population [Survey weights that add up to population totals] | 2022-23: PSU [Sample point / PSU number]; psu [Sample point / PSU number]; q803 [Weight in KG]; weight [Final weight]; weight_TRt [Final weight - TR with top up sample]; weight_pop [Final weight - scaled to the 18+ population]
urban/rural,Locality [Locality - name of settlement/locality/town district]; q705 [q705 - How long have you lived in this city / town / village? YEARS {null=THE WH]; tablec [a4 - Type of settlement],q908 [Length of time in this city/town/village /YEARS/]; town [Town/Village]; urban [Urbanity status],q5011 [Length of time in this city/town/village - Years]; q5012 [Length of time in this city/town/village - Months]; q5013 [Length of time in this city/town/village - Have lived here my entire life]; town [Town/Village]; urbanity [Urbanity],TRUE,TRUE,TRUE,supported,Variable examples -> 2010: Locality [Locality - name of settlement/locality/town district]; q705 [q705 - How long have you lived in this city / town / village? YEARS {null=THE WH]; tablec [a4 - Type of settlement] | 2016: q908 [Length of time in this city/town/village /YEARS/]; town [Town/Village]; urban [Urbanity status] | 2022-23: q5011 [Length of time in this city/town/village - Years]; q5012 [Length of time in this city/town/village - Months]; q5013 [Length of time in this city/town/village - Have lived here my entire life]; town [Town/Village]; urbanity [Urbanity]
comparability across rounds,NA,NA,NA,NA,NA,NA,supported,All target waves located; pairwise variable overlaps reported in audit_lits_wave_overlaps.csv.
