"year","module","n_vars"
2021,"m00_passport",28
2022,"m00_passport",28
2023,"m00_passport",27
2024,"m00_passport",33
2025,"m00_passport",43
2021,"m00_weight",9
2023,"m00_weight",12
2024,"m00_weight",14
2025,"m00_weight",13
2021,"m00_weight1",7
2021,"m00_weight2",7
2021,"m01_roster",20
2022,"m01_roster",23
2023,"m01_roster",22
2024,"m01_roster",24
2025,"m01_roster",24
2021,"m02_migration",51
2022,"m02_migration",56
2023,"m02_migration",52
2024,"m02_migration",54
2025,"m02_migration",54
2021,"m03_education",38
2022,"m03_education",41
2023,"m03_education",40
2024,"m03_education",44
2025,"m03_education",45
2021,"m13_internet",201
2022,"m13_internet",174
2023,"m13_internet",169
2024,"m13_internet",168
