wave_year,region,n_total,rank_valid_n,transition_valid_n,in_common_region
2010,Bukhara region,110,106,106,TRUE
2010,Jizzakh region,83,55,55,TRUE
2010,Karakalpakstan republic,94,59,59,TRUE
2010,Khorezm region,80,69,69,TRUE
2010,Namangan region,159,144,144,TRUE
2010,Navoi region,49,42,42,TRUE
2010,Samarkand region,192,157,157,TRUE
2010,Sirdarya region,46,45,45,TRUE
2010,Tashkent city,154,133,133,TRUE
2010,Tashkent region,158,103,103,TRUE
2016,Bukhara region,116,111,111,TRUE
2016,Jizzakh region,85,82,82,TRUE
2016,Karakalpakstan republic,115,115,115,TRUE
2016,Khorezm region,100,93,93,TRUE
2016,Namangan region,162,156,156,TRUE
2016,Navoi region,44,39,39,TRUE
2016,Samarkand region,225,215,215,TRUE
2016,Sirdarya region,47,45,45,TRUE
2016,Tashkent city,165,163,163,TRUE
2016,Tashkent region,180,166,166,TRUE
2022,Andijan region,74,74,74,FALSE
2022,Bukhara region,43,43,43,TRUE
2022,Fergana region,102,100,100,FALSE
2022,Jizzakh region,34,33,33,TRUE
2022,Karakalpakstan republic,32,32,32,TRUE
2022,Kashkadarya region,78,78,78,FALSE
2022,Khorezm region,46,46,46,TRUE
2022,Namangan region,65,65,65,TRUE
2022,Navoi region,38,38,38,TRUE
2022,Samarkand region,79,77,77,TRUE
2022,Sirdarya region,9,6,6,TRUE
2022,Surkhandarya region,64,64,64,FALSE
2022,Tashkent city,62,57,57,TRUE
2022,Tashkent region,65,63,63,TRUE
