variable,n_total,n_non_missing,share_non_missing,n_unique_non_missing
parent_years_schooling,186,183,0.9838709677419355,10
parent_low_edu,186,183,0.9838709677419355,2
urban,186,186,1,2
weight_final,186,186,1,149
education_stopped_covid,186,186,1,2
switched_online,186,186,1,2
school_closed_no_online,186,186,1,2
switched_hybrid,186,186,1,2
support_mother,186,176,0.946236559139785,2
support_father,186,176,0.946236559139785,2
support_grand_relatives,186,176,0.946236559139785,2
no_support_needed,186,176,0.946236559139785,2
shared_device,186,176,0.946236559139785,2
any_remote_challenge,186,176,0.946236559139785,2
challenge_internet,186,176,0.946236559139785,2
challenge_device,186,176,0.946236559139785,2
challenge_cost,186,176,0.946236559139785,2
challenge_tech,186,176,0.946236559139785,2
challenge_balance,186,176,0.946236559139785,2
