"key","value"
"persistence_2010","0.134"
"persistence_2016","0.307"
"persistence_2022","0.252"
"change_2010_2016","0.172"
"change_2010_2016_p","0.000"
"change_2016_2022","-0.054"
"change_2016_2022_p","0.173"
"stopped_covid","78.3%"
"any_remote_challenge","75.8%"
"support_mother","87.0%"
"support_father","3.7%"
"challenge_internet","72.6%"
"challenge_device","63.5%"
"tertiary_persistence","87.3%"
"edu_spending","62.6%"
"tutoring","14.2%"
"remittances","14.8%"
"internet_access","79.7%"
"sample_n","3155"
